brand,product,source_type,evidence_level,evidence_status,lab_name,test_date,substances,result_value,unit,status,source_url,accessed_date,notes
Freshpet,Full portfolio (Clean Label Project Certified),third_party_lab_summary,brand,verified_lab,Ellipse Analytics (ISO 17025) via Clean Label Project,2026-02-12,heavy metals; bisphenols; phthalates; acrylamide; pesticides; glyphosate,,,pass,https://cleanlabelproject.org/dog-food-study/,2026-06-25,"Only brand listed as Clean Label Project CERTIFIED in the Feb-2026 ISO-17025 study (independent testing for 100+ contaminants). Brand-level certification, not a per-lot COA."
Clean Label Project,Dry dog food category average (50 samples),public_study,study,verified_lab,Ellipse Analytics (ISO 17025),2026-02-12,lead; arsenic; cadmium; mercury,lead avg 180.1; arsenic avg 184.6; cadmium avg 68.5; mercury avg 3.8; max lead 1576.5,ppb,elevated,https://cleanlabelproject.org/dog-food-study/,2026-06-25,"Independent ISO-17025 study: dry dog food averaged ~12.7x more lead and ~5.7x more arsenic than the human-consumables benchmark; highest single lead sample 1,576.5 ppb."
Clean Label Project,Fresh/frozen dog food category average (18 samples),public_study,study,verified_lab,Ellipse Analytics (ISO 17025),2026-02-12,lead; arsenic; cadmium; mercury,lead avg 8.5; arsenic avg 13.9; cadmium avg 11.3; mercury avg 0.2,ppb,not_detected,https://cleanlabelproject.org/dog-food-study/,2026-06-25,"Fresh/frozen segment had the LOWEST contaminants of any segment, below the human-consumables benchmark; dry food had ~21x more lead than fresh/frozen."
Study: Kim et al. heavy metals in OTC dry dog foods,51 over-the-counter dry dog foods,public_study,study,verified_lab,"Frontiers in Veterinary Science, 2018",2018,arsenic; cadmium; lead; mercury (ICP-MS),red-meat median Pb 0.091; As 0.037; Cd 0.013; Hg 0.0012,mg/Mcal,unknown,https://www.frontiersin.org/journals/veterinary-science/articles/10.3389/fvets.2018.00264/full,2026-06-25,Frontiers in Vet Science 2018 (doi:10.3389/fvets.2018.00264). Fish diets higher As/Cd/Hg; red-meat diets higher Pb. Concluded foods generally safe for chronic consumption with occasional Pb outliers.
Study: Koestel et al. BPA in canned dog food,2 canned diets (one labeled BPA-free); 14 dogs,public_study,study,verified_lab,"Science of the Total Environment, 2017",2017,bisphenol A (BPA),serum BPA increased significantly in all dogs,ng/mL,elevated,https://www.cliniciansbrief.com/article/bisphenol-bpa-serum-pet-dogs-fed-canned-dog-food,2026-06-25,Sci Total Environ 2017;579:1804-1814. Both canned diets contained BPA incl. the 'BPA-free' one; serum BPA rose significantly after 2 weeks and correlated with microbiome changes.
Study: Zhao et al. glyphosate in pet food (Cornell),"18 dog & cat foods, 8 manufacturers",public_study,study,verified_lab,"Environmental Pollution, 2018",2018,glyphosate,~80 to 2000,ug/kg,unknown,https://news.cornell.edu/stories/2018/10/study-finds-glyphosate-cat-and-dog-food,2026-06-25,Environmental Pollution 2018 (Cornell). ALL 18 feeds contained glyphosate incl. one GMO-free certified; levels ~ <1% of human acceptable daily intake.
Study: EWG PFAS in pet-food packaging,"11 bags, 7 popular brands",public_study,study,verified_lab,"Environmental Working Group, 2022",2022-11-03,"PFAS (PFBA, PFPeA, PFHxA, PFHpA, 6:2 FTCA, 6:2 diPAP, PFPrA); total fluorine",Purina Cat Chow 244.7 total PFAS; Kibbles 'n Bits 14.3,ppb,elevated,https://www.ewg.org/news-insights/news/2022/11/quibble-kibbles-forever-chemicals-pet-food-packaging-add-perils-home,2026-06-25,EWG Nov-2022 independent lab test of PACKAGING (total fluorine up to ~630 ppm); 7 PFAS detected. Purina Cat Chow Complete Chicken highest total PFAS (244.7 ppb). Migration into food not confirmed.
Study/Recall: FDA Sportmix aflatoxin (Midwestern Pet Foods),"Sportmix, Pro Pac, Nunn Better lots",public_study,study,verified_lab,"U.S. FDA / Missouri Dept. of Agriculture, 2021",2021-01-26,aflatoxins,up to 558 (threshold 20),ppb,fail,https://www.fda.gov/animal-veterinary/outbreaks-and-advisories/fda-alert-certain-lots-sportmix-pet-food-recalled-potentially-fatal-levels-aflatoxin,2026-06-25,FDA/Missouri Dept Ag 2021: samples up to 558 ppb aflatoxin vs 20 ppb adulteration threshold; >130 dog deaths. Government lab-confirmed.
Wellness (WellPet),Multiple SKUs (public 'Testing Results' page),brand_level_lab_report,brand,brand_claim,third-party accredited lab (AOAC; unnamed),2026-04-03,arsenic; cadmium; lead; mercury,As 0.30; Cd 0.22; Pb 0.08; Hg 0.02 (example SKU),mg/kg,pass,https://www.wellnesspetfood.com/testing-results/,2026-06-25,"Brand publishes a PUBLIC per-product heavy-metal results table with values + test dates (e.g. Simple Duck & Oatmeal As 0.30/Cd 0.22/Pb 0.08/Hg 0.02 mg/kg, all below NRC/FDA MTLs). Strong transparency but third-party lab unnamed and no downloadable independent COA -> graded brand_claim, values recorded."
Orijen / Acana (Champion Petfoods),Dog & cat foods (3-yr averages),brand_level_lab_report,brand,brand_claim,two third-party labs (AOAC; unnamed),2017-05-01,arsenic; cadmium; lead; mercury,dog As 0.89; Cd 0.09; Pb 0.23; Hg 0.02 | cat As 1.36,mg/kg,pass,https://championpetfoods.com/on/demandware.static/-/Sites-cpf-corp-Library/default/dw7ff1cd03/pdf/Champion%20Petfoods%20White%20Paper-Heavy%20Metals.pdf,2026-06-25,"Brand white paper (May 2017) reports 3-yr third-party AOAC averages well below NRC/FDA MTLs (dog As 0.89/Cd 0.09/Pb 0.23/Hg 0.02; cat As 1.36 mg/kg). Aggregate, dated 2017 (consider stale), labs unnamed -> brand_claim."
